Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City
1940-01,,,,Juneau
1940-02,,,,Juneau
1940-03,,,,Juneau
1940-04,,,,Juneau
1940-05,,,,Juneau
1940-06,,,,Juneau
1940-07,,,,Juneau
1940-08,,,,Juneau
1940-09,1.01,52.17,,Juneau
1940-10,,,,Juneau
1940-11,,,,Juneau
1940-12,,,,Juneau
1941-01,1.1,27.73,0,Juneau
1941-02,0.54,32,,Juneau
1941-03,3.86,37.63,0,Juneau
1941-04,2.41,44.3,0,Juneau
1941-05,1.93,48.65,0,Juneau
1941-06,3.79,54.54,0,Juneau
1941-07,4.58,55.12,0,Juneau
1941-08,1.09,58.16,0,Juneau
1941-09,4.42,49.57,0,Juneau
1941-10,,,,Juneau
1941-11,5.54,34.17,1,Juneau
1941-12,2.66,26.65,26,Juneau
1942-01,5.87,34.04,,Juneau
1942-02,2.74,34.2,5,Juneau
1942-03,3.18,33.66,1,Juneau
1942-04,3.16,41.78,0,Juneau
1942-05,1.45,51.37,0,Juneau
1942-06,,56.16,,Juneau
1942-07,6.31,55.79,,Juneau
1942-08,,55.87,,Juneau
1942-09,4.59,51.33,,Juneau
1942-10,,46.62,0,Juneau
1942-11,2.28,29.91,,Juneau
1942-12,,19.59,,Juneau
1943-01,,21.38,,Juneau
1943-02,3.32,30.17,2,Juneau
1943-03,0.77,32.09,,Juneau
1943-04,2.1,41.42,,Juneau
1943-05,,,,Juneau
1943-06,,,,Juneau
1943-07,6.65,53.44,0,Juneau
1943-08,5.66,53.37,0,Juneau
1943-09,11.24,49.65,0,Juneau
1943-10,9.26,42.29,,Juneau
1943-11,6.5,39.6,0,Juneau
1943-12,9.86,36.95,13.4,Juneau
1944-01,4.55,34.74,14,Juneau
1944-02,1.76,31.19,7.1,Juneau
1944-03,5.75,33.03,4.1,Juneau
1944-04,3.65,39.55,15.1,Juneau
1944-05,4.27,46.19,0,Juneau
1944-06,3.04,54.35,0,Juneau
1944-07,3.72,55.68,0,Juneau
1944-08,4.71,53.76,,Juneau
1944-09,3.69,50.17,0,Juneau
1944-10,12.39,44.73,0,Juneau
1944-11,7.52,34.1,16.7,Juneau
1944-12,4.43,31.13,5.6,Juneau
1945-01,3.49,32.06,9.8,Juneau
1945-02,3.17,31.5,6.7,Juneau
1945-03,4.54,35.32,9.3,Juneau
1945-04,2.82,36.93,5.9,Juneau
1945-05,1.33,49.18,0.7,Juneau
1945-06,4.66,51.47,0,Juneau
1945-07,7.76,52.71,0,Juneau
1945-08,4.17,53.58,0,Juneau
1945-09,7.31,48.37,0,Juneau
1945-10,11.05,42.39,0.2,Juneau
1945-11,2.43,24.1,10.5,Juneau
1945-12,2.57,28.21,22.3,Juneau
1946-01,4.24,30.42,35.4,Juneau
1946-02,2.03,31.61,13.4,Juneau
1946-03,3.5,33.95,18.6,Juneau
1946-04,3.11,39.13,2.4,Juneau
1946-05,1.25,49.31,0,Juneau
1946-06,1.08,56.75,0,Juneau
1946-07,6.61,54.29,0,Juneau
1946-08,5.52,52.47,0,Juneau
1946-09,4.9,49.4,,Juneau
1946-10,10.52,40.76,0.3,Juneau
1946-11,7.31,29.4,9.6,Juneau
1946-12,2.47,21.69,21.9,Juneau
1947-01,4.76,20.98,20.7,Juneau
1947-02,2.18,25.02,19.7,Juneau
1947-03,5.8,35.76,0.7,Juneau
1947-04,4.33,39.18,4,Juneau
1947-05,3.25,47.68,0,Juneau
1947-06,4.77,52.67,0,Juneau
1947-07,2.01,56.15,0,Juneau
1947-08,8.47,53.94,0,Juneau
1947-09,11.09,49.5,0,Juneau
1947-10,4.87,43.11,,Juneau
1947-11,4.89,37.47,6.7,Juneau
1947-12,4.36,35.27,6.6,Juneau
1948-01,6.77,32.66,9,Juneau
1948-02,1.14,21.78,10.6,Juneau
1948-03,4.16,27.81,52.6,Juneau
1948-04,0.27,34.47,4.7,Juneau
1948-05,4.39,47.95,0,Juneau
1948-06,2.52,55.38,0,Juneau
1948-07,5.54,56.89,0,Juneau
1948-08,3.39,53.37,0,Juneau
1948-09,11.51,48.17,0,Juneau
1948-10,10.94,41.98,0,Juneau
1948-11,10.38,31.88,27.5,Juneau
1948-12,2.95,19.08,35.9,Juneau
1949-01,7.33,25.48,25,Juneau
1949-02,4.03,16.27,39.6,Juneau
1949-03,1.83,35.12,1.7,Juneau
1949-04,4.32,39.57,1.6,Juneau
1949-05,3.38,45.81,,Juneau
1949-06,5.34,49.32,0,Juneau
1949-07,3.97,53.32,0,Juneau
1949-08,3.52,53.21,0,Juneau
1949-09,7.8,50.73,0,Juneau
1949-10,8.5,41.53,2.1,Juneau
1949-11,9.22,39.27,1,Juneau
1949-12,2.35,20.97,19.8,Juneau
1950-01,0.94,7.94,13.4,Juneau
1950-02,2.22,23.36,27.8,Juneau
1950-03,1.29,32.66,4.1,Juneau
1950-04,2.09,37.37,1.5,Juneau
1950-05,3.38,44.74,0,Juneau
