Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City,ID
1940-01,,,,Delta Junction,USW00026415
1940-02,,,,Delta Junction,USW00026415
1940-03,,,,Delta Junction,USW00026415
1940-04,,,,Delta Junction,USW00026415
1940-05,,,,Delta Junction,USW00026415
1940-06,,,,Delta Junction,USW00026415
1940-07,,,,Delta Junction,USW00026415
1940-08,0.69,,0,Delta Junction,USW00026415
1940-09,,,,Delta Junction,USW00026415
1940-10,,,,Delta Junction,USW00026415
1940-11,0.23,,5.5,Delta Junction,USW00026415
1940-12,,,,Delta Junction,USW00026415
1941-01,0.08,,0.9,Delta Junction,USW00026415
1941-02,0,,0,Delta Junction,USW00026415
1941-03,0.22,,1.2,Delta Junction,USW00026415
1941-04,0.29,37.3,2.1,Delta Junction,USW00026415
1941-05,1.28,45.77,0,Delta Junction,USW00026415
1941-06,1.28,57.53,0,Delta Junction,USW00026415
1941-07,2.94,56.23,0,Delta Junction,USW00026415
1941-08,1.62,57.15,0,Delta Junction,USW00026415
1941-09,0.9,42.09,2,Delta Junction,USW00026415
1941-10,0.57,21.55,2.3,Delta Junction,USW00026415
1941-11,0.49,1.12,2.7,Delta Junction,USW00026415
1941-12,0.22,-5.53,2.7,Delta Junction,USW00026415
1942-01,0.41,7.13,3.2,Delta Junction,USW00026415
1942-02,0.17,11.81,2,Delta Junction,USW00026415
1942-03,0.17,11,3.5,Delta Junction,USW00026415
1942-04,,33.57,,Delta Junction,USW00026415
1942-05,,53.32,,Delta Junction,USW00026415
1942-06,0.61,58.29,0,Delta Junction,USW00026415
1942-07,1.81,60.73,0,Delta Junction,USW00026415
1942-08,,57.58,,Delta Junction,USW00026415
1942-09,,50.04,,Delta Junction,USW00026415
1942-10,0.36,25.74,5.4,Delta Junction,USW00026415
1942-11,0.53,3.97,6.6,Delta Junction,USW00026415
1942-12,0.09,-20.42,1.7,Delta Junction,USW00026415
1943-01,0.35,-20.5,4.9,Delta Junction,USW00026415
1943-02,0.03,10.66,0.3,Delta Junction,USW00026415
1943-03,0.71,10.55,7.7,Delta Junction,USW00026415
1943-04,0.07,31.57,,Delta Junction,USW00026415
1943-05,0.79,47.47,,Delta Junction,USW00026415
1943-06,3.67,59.55,0,Delta Junction,USW00026415
1943-07,2.1,59.4,0,Delta Junction,USW00026415
1943-08,1.77,52.97,0,Delta Junction,USW00026415
1943-09,1.06,44.88,,Delta Junction,USW00026415
1943-10,0.32,30.6,4.5,Delta Junction,USW00026415
1943-11,0.1,17.97,4.2,Delta Junction,USW00026415
1943-12,0.55,10.06,10,Delta Junction,USW00026415
1944-01,,3.75,1,Delta Junction,USW00026415
1944-02,0.18,15.02,5.5,Delta Junction,USW00026415
1944-03,0.54,10.85,2.8,Delta Junction,USW00026415
1944-04,0.03,25.92,0.5,Delta Junction,USW00026415
1944-05,0.02,48.37,,Delta Junction,USW00026415
1944-06,,57.78,,Delta Junction,USW00026415
1944-07,3.12,60.03,0,Delta Junction,USW00026415
1944-08,3.12,53.11,0,Delta Junction,USW00026415
1944-09,1.63,41.52,,Delta Junction,USW00026415
1944-10,0.5,31.37,1.1,Delta Junction,USW00026415
1944-11,0.06,8.87,,Delta Junction,USW00026415
1944-12,0.74,3.88,,Delta Junction,USW00026415
1945-01,0.01,11.82,,Delta Junction,USW00026415
1945-02,0.34,9.18,,Delta Junction,USW00026415
1945-03,0.29,11.93,6.6,Delta Junction,USW00026415
1945-04,0.21,23.52,3,Delta Junction,USW00026415
1945-05,0.46,42.42,0.7,Delta Junction,USW00026415
1945-06,2.05,53.33,,Delta Junction,USW00026415
