Year,Lat,Lon,Monthly Average Mean Temperature (degF),Monthly Total Precipitation (in),Monthly Total Snowfall (in)
2000,60.3838462,-144.0452622,37.77154761904762,4.956585365853659,9.745098039215685
2001,60.3838462,-144.0452622,37.46630952380953,5.071204819277109,10.63809523809524
2002,60.3838462,-144.0452622,38.556785714285716,5.218313253012048,11.631481481481481
2003,60.3838462,-144.0452622,38.36952380952381,4.8100000000000005,10.921153846153846
2004,60.3838462,-144.0452622,38.616547619047616,4.888333333333334,12.68392857142857
2005,60.3838462,-144.0452622,38.860238095238095,5.430595238095238,8.60677966101695
2006,60.3838462,-144.0452622,35.83690476190476,4.847619047619047,10.547272727272727
2007,60.3838462,-144.0452622,36.65678571428572,4.805595238095238,9.987719298245613
2008,60.3838462,-144.0452622,35.165238095238095,5.107380952380952,13.60701754385965
2009,60.3838462,-144.0452622,36.76607142857143,4.526190476190476,12.56607142857143
2010,60.3838462,-144.0452622,38.044642857142854,4.437710843373494,8.969811320754717
2011,60.3838462,-144.0452622,36.70654761904762,5.052222222222222,12.692857142857141
2012,60.3838462,-144.0452622,35.11702380952381,4.557349397590361,12.123636363636363
2013,60.3838462,-144.0452622,38.0375,5.101428571428571,14.710909090909091
2014,60.3838462,-144.0452622,38.935696202531645,5.031025641025641,5.404
2015,60.3838462,-144.0452622,40.086746987951805,4.806506024096386,4.043859649122807
2016,60.3838462,-144.0452622,40.91277777777778,4.5505555555555555,2.9380952380952383
2017,60.3838462,-144.0452622,37.75930555555556,4.6995774647887325,6.038095238095238
2018,60.3838462,-144.0452622,39.54638888888889,3.8402777777777777,5.097777777777778
2019,60.3838462,-144.0452622,40.8525,4.4951388888888895,5.020588235294118
2020,60.3838462,-144.0452622,36.84875,5.015833333333333,6.989743589743591
